"original_path";"original_name";"proposed_name";"category";"alt";"caption";"confidence";"visible_elements";"approved";"status"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260728_140201.jpg";"IMG_20260728_140201.jpg";"pose-plaques-platre-sous-poutres.jpg";"plafond";"Plaques de plâtre posées au plafond entre des poutres en bois, avec des rails métalliques fixés sur un mur en blocs.";"Plafond en plaques de plâtre en cours de pose entre les poutres apparentes, dans une pièce en chantier.";"0.96";"plaques de plâtre au plafond | poutres en bois apparentes | rails métalliques horizontaux | mur en blocs de maçonnerie | outils et seaux de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260729_170233.jpg";"IMG_20260729_170233.jpg";"pose-isolation-murs-plafond.jpg";"isolation";"Panneaux isolants visibles sur les murs sous une charpente apparente et un plafond incliné.";"Des panneaux isolants sont posés sur les murs, tandis que les poutres en bois restent apparentes sous le plafond incliné.";"0.97";"panneaux isolants posés entre les montants des murs | poutres en bois apparentes | plafond incliné partiellement recouvert | sol intérieur lisse";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260729_170246.jpg";"IMG_20260729_170246.jpg";"pose-isolation-murs-ossature.jpg";"isolation";"Murs intérieurs avec panneaux isolants visibles entre montants métalliques, avant pose des plaques.";"Isolation des murs en cours dans une pièce, avec les montants métalliques et les panneaux isolants apparents.";"0.96";"panneaux isolants apparents sur les murs | montants métalliques verticaux | poutres en bois visibles au plafond | porte et fenêtres | sol intérieur non fini";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260729_170249.jpg";"IMG_20260729_170249.jpg";"pose-isolation-murs-plafond-02.jpg";"isolation";"Pièces en cours d'isolation avec des panneaux visibles sur les murs et entre les poutres du plafond.";"Isolation visible sur les murs et au plafond dans une pièce en cours de chantier, avec poutres apparentes et sol non fini.";"0.98";"Panneaux d'isolation emballés sur les murs | Isolation entre les poutres du plafond | Poutres en bois apparentes | Porte vitrée | Sol gris non fini";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260730_113527.jpg";"IMG_20260730_113527.jpg";"ossature-metallique-cloison-en-cours.jpg";"cloison";"Ossature métallique d'une cloison en cours de montage dans une pièce avec plafond en plaques.";"Une ossature métallique est installée pour former une cloison, tandis que le plafond présente des plaques et des joints visibles.";"0.98";"montants métalliques verticaux | ossature de cloison | plafond en plaques avec joints visibles | murs en blocs apparents | sol carrelé | porte et fenêtre";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260730_113551.jpg";"IMG_20260730_113551.jpg";"ossature-metallique-cloison-en-cours-02.jpg";"cloison";"Une ossature métallique est installée devant un mur maçonné, avec un véhicule ancien visible au premier plan.";"Mise en place d’une ossature métallique pour une future cloison dans un espace intérieur.";"0.98";"ossature métallique verticale et horizontale | mur maçonné apparent | plafond en béton | sol carrelé | échelle | véhicule ancien";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260730_113621.jpg";"IMG_20260730_113621.jpg";"ossature-metallique-cloison-en-cours-03.jpg";"cloison";"Ossature métallique visible sur une cloison en cours d'aménagement dans une pièce en chantier.";"L'ossature métallique de la future cloison est visible devant un mur en blocs, avec des outils entreposés dans la pièce.";"0.97";"ossature métallique verticale et horizontale | mur en blocs | sol carrelé | plafond en béton apparent | outils de chantier | véhicule ancien et remorque";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\isolation-plafond-maison.jpeg";"isolation-plafond-maison.jpeg";"ossature-metallique-plafond-isolation.jpg";"plafond";"Plafond en cours de chantier avec ossature métallique, isolation apparente et câbles électriques.";"Ossature métallique visible sous le plafond, avec isolation apparente et réseaux de câbles en attente.";"0.96";"ossature métallique de plafond | isolant apparent | câbles électriques | plaques de plâtre stockées au sol | escabeau";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\niche-placo-eclairage-led.jpg";"niche-placo-eclairage-led.jpg";"plafond-a-niveaux-avec-cable.jpg";"plafond";"Plafond à plusieurs niveaux avec une gaine ou un câble apparent au centre de la pièce.";"Plafond à plusieurs niveaux avec une réservation périphérique et une gaine apparente en attente.";"0.96";"plafond à plusieurs niveaux | gaine ou câble apparent | murs finis | fenêtre | sol carrelé";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\ossature-metallique-faux-plafond-chantier-platrerie.jpeg";"ossature-metallique-faux-plafond-chantier-platrerie.jpeg";"ossature-metallique-plafond-en-cours-03.jpg";"plafond";"Ossature métallique suspendue sous une charpente avec gaines, câbles et équipements techniques visibles.";"Mise en place d'une ossature métallique de plafond avec réseaux techniques apparents dans un espace en construction.";"0.98";"ossature métallique suspendue | gaines et câbles apparents | conduit cylindrique | charpente en bois | murs en briques | échelles et matériel de chantier | personne présente";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\placo-decoratif-meuble-tv.jpg";"placo-decoratif-meuble-tv.jpg";"plafond-decoratif-mur-tv-eclaire.jpg";"decoratif";"Pièce intérieure avec plafond décoratif éclairé, télévision murale et éléments muraux arrondis.";"Plafond à formes décoratives avec éclairage encastré et mur TV doté d’éléments arrondis éclairés.";"0.98";"plafond décoratif à plusieurs niveaux | spots encastrés | éclairage indirect coloré | télévision fixée au mur | éléments muraux arrondis | meuble mural bas";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\plafond-placo-finition.jpg";"plafond-placo-finition.jpg";"plafond-plaques-platre-joints-en-cours.jpg";"plafond";"Plafond en plaques de plâtre avec joints enduits et gaines électriques apparentes dans une pièce en rénovation.";"Les joints du plafond en plaques de plâtre sont enduits, tandis que des gaines électriques restent apparentes.";"0.96";"plafond en plaques de plâtre | joints et zones d'enduit visibles | gaines électriques apparentes | murs en cours de finition | fenêtres et porte-fenêtre";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\pose-isolation-doublage-mur.jpeg";"pose-isolation-doublage-mur.jpeg";"isolation-mur-ossature-metallique.jpg";"isolation";"Panneaux isolants installés entre des montants métalliques avec des câbles apparents et deux fenêtres.";"Isolation d’un mur en cours de pose entre une ossature métallique, avec câblage apparent et plaques non encore installées.";"0.98";"panneaux isolants | ossature métallique verticale | câbles apparents | deux fenêtres | mur en briques visible | plaques de plâtre non posées";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.08.50 (1).jpeg";"WhatsApp Image 2026-08-29 at 09.08.50 (1).jpeg";"plafond-plaques-platre-cables-electriques.jpg";"plafond";"Pièce en chantier avec plafond en plaques de plâtre, câbles électriques apparents et isolation visible sur les murs.";"Plafond en plaques de plâtre installé dans une pièce en cours d’aménagement, avec câbles électriques apparents et isolation visible.";"0.96";"plafond en plaques de plâtre | câbles électriques apparents | isolation réfléchissante visible sur les murs | plaques de plâtre vertes sur les parois | échelle dans la pièce | outils et rails au sol";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.14.37.jpeg";"WhatsApp Image 2026-08-29 at 09.14.37.jpeg";"finition-joints-plaques-platre-plafond.jpg";"joints-finitions";"Plafond et plaques de plâtre murales en cours de finition avec joints enduits.";"Les joints et raccords d’un plafond avec retombée ainsi que de plaques de plâtre murales sont en cours d’enduisage.";"0.93";"plafond en plaques de plâtre | retombée ou caisson au plafond | plaques de plâtre roses sur les murs | joints recouverts d’enduit | gaines et sorties électriques visibles";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.16.05.jpeg";"WhatsApp Image 2026-08-29 at 09.16.05.jpeg";"ossature-metallique-mur-isole.jpg";"isolation";"Mur en cours de réalisation avec montants métalliques, panneaux isolants visibles et câbles électriques apparents.";"Ossature métallique installée devant des panneaux isolants, avec câbles électriques en attente et plafond en plaques de plâtre.";"0.97";"montants métalliques verticaux | panneaux isolants entre les montants | câbles électriques apparents | plafond en plaques de plâtre | échelle rouge";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.16.49.jpeg";"WhatsApp Image 2026-08-29 at 09.16.49.jpeg";"joints-plaques-platre-mur-plafond.jpg";"joints-finitions";"Mur et plafond en plaques de plâtre avec joints et points de fixation enduits.";"Les joints et points de fixation des plaques de plâtre sont en cours de finition sur le mur et le plafond.";"0.96";"plaques de plâtre murales | joints enduits | points de fixation rebouchés | plafond avec bandes de joint | gaine ou câble apparent au sol";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.17.49.jpeg";"WhatsApp Image 2026-08-29 at 09.17.49.jpeg";"piece-interieure-murs-briques-reseaux-apparents.jpg";"autre";"Pièce intérieure en chantier avec murs en briques apparentes, fenêtre, câbles et conduites visibles sous une charpente en bois.";"Les murs en briques, la fenêtre, les câbles et les conduites sont visibles dans cette pièce en cours d’aménagement.";"0.98";"murs en briques apparentes | fenêtre blanche | charpente en bois apparente | câbles électriques pendants | conduites regroupées au mur | dalle de sol brute";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.19.02.jpeg";"WhatsApp Image 2026-08-29 at 09.19.02.jpeg";"doublage-plaques-platre-en-cours.jpg";"doublage";"Mur recouvert de plaques de plâtre avec ossature de plafond et gaines électriques visibles dans une pièce en chantier.";"Les plaques de plâtre sont posées sur un mur, tandis que l’ossature du plafond et plusieurs gaines restent apparentes.";"0.97";"plaques de plâtre posées sur un mur | ossature métallique de plafond | gaines et câbles électriques apparents | isolant visible sur le mur du fond | fenêtres et porte en cours de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.19.32.jpeg";"WhatsApp Image 2026-08-29 at 09.19.32.jpeg";"plaques-platre-murs-plafond-en-cours.jpg";"cloison";"Pièce en cours d’aménagement avec des plaques de plâtre posées aux murs et au plafond, et des câbles apparents.";"Plaques de plâtre visibles sur les murs et le plafond d’une pièce en chantier, avec des câbles électriques en attente.";"0.97";"plaques de plâtre aux murs | plaques de plâtre au plafond | panneau vert sur un mur | câbles apparents | baie vitrée";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.20.47 (1).jpeg";"WhatsApp Image 2026-08-29 at 09.20.47 (1).jpeg";"ossature-metallique-doublage-mur.jpg";"doublage";"Ossature métallique installée devant un mur en briques avec plusieurs fenêtres dans une pièce en chantier.";"Mise en place d'une ossature métallique devant un mur en briques, autour des fenêtres, avant la pose du parement.";"0.98";"ossature métallique verticale et horizontale | mur en briques apparentes | trois fenêtres | câbles apparents | plafond avec plaques posées | pièce en cours de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.20.47 (2).jpeg";"WhatsApp Image 2026-08-29 at 09.20.47 (2).jpeg";"pose-isolation-murs-pare-vapeur.jpg";"isolation";"Panneaux isolants avec pare-vapeur visibles sur les murs d'une pièce en cours de chantier.";"Isolation des murs posée autour de deux fenêtres, avec joints apparents et câbles électriques en attente.";"0.98";"panneaux isolants sur les murs | pare-vapeur imprimé | joints entre panneaux | deux fenêtres | câbles électriques en attente | sol et plafond non finalisés";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.20.47 (3).jpeg";"WhatsApp Image 2026-08-29 at 09.20.47 (3).jpeg";"pose-isolation-murs-ossature-metallique.jpg";"isolation";"Isolation visible entre des montants métalliques autour de plusieurs fenêtres, avec des câbles apparents.";"Panneaux isolants et pare-vapeur visibles entre l’ossature métallique des murs, avant la pose du parement.";"0.98";"panneaux isolants | pare-vapeur | ossature métallique | fenêtres | câbles électriques apparents | plaques au plafond";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.20.47 (4).jpeg";"WhatsApp Image 2026-08-29 at 09.20.47 (4).jpeg";"isolation-murs-pare-vapeur-en-cours.jpg";"isolation";"Pièce en chantier avec isolation et pare-vapeur visibles sur les murs, fenêtres posées et ossature métallique apparente.";"Isolation et pare-vapeur visibles sur les murs d'une pièce en cours d'aménagement, avec ossature métallique apparente sur le mur du fond.";"0.98";"Isolation posée sur les murs | Pare-vapeur apparent | Deux fenêtres | Ossature métallique apparente | Sol de chantier | Échelle rouge";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.20.47 (5).jpeg";"WhatsApp Image 2026-08-29 at 09.20.47 (5).jpeg";"pose-isolation-ossature-metallique-mur.jpg";"isolation";"Mur en cours d'isolation avec panneaux isolants et ossature métallique visibles.";"Panneaux isolants et montants métalliques en cours de mise en place sur un mur.";"0.96";"panneaux isolants | montants et rails métalliques | mur en cours de travaux | sol en béton";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.20.47.jpeg";"WhatsApp Image 2026-08-29 at 09.20.47.jpeg";"pose-isolation-ossature-doublage.jpg";"isolation";"Panneaux isolants installés entre des montants métalliques autour de deux fenêtres.";"Mise en place de l'isolation et de l'ossature métallique avant la pose du parement intérieur.";"0.98";"panneaux isolants | montants métalliques verticaux | rails métalliques | deux fenêtres | câbles électriques apparents | mur en cours de doublage";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.20.48.jpeg";"WhatsApp Image 2026-08-29 at 09.20.48.jpeg";"pose-isolation-pare-vapeur-ossature-metallique.jpg";"isolation";"Isolation avec pare-vapeur visible entre une ossature métallique et un mur en blocs.";"Panneaux isolants avec pare-vapeur posés dans une ossature métallique, devant un mur en blocs.";"0.98";"panneaux isolants | pare-vapeur imprimé | ossature métallique | mur en blocs | sol de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.25.42 (1).jpeg";"WhatsApp Image 2026-08-29 at 09.25.42 (1).jpeg";"plaques-platre-murs-plafond-en-cours-02.jpg";"renovation";"Pièce en cours d’aménagement avec murs et plafond en plaques de plâtre, câbles apparents et mur en briques visible.";"Murs et plafond revêtus de plaques de plâtre dans une pièce en cours de chantier, avec réseaux électriques apparents et mur en briques non habillé.";"0.96";"murs en plaques de plâtre | plafond en plaques de plâtre | câbles électriques apparents | gaines au sol et au plafond | mur en briques non revêtu | fenêtres";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.25.42.jpeg";"WhatsApp Image 2026-08-29 at 09.25.42.jpeg";"pose-plaques-platre-murs-plafond.jpg";"doublage";"Pièce en cours d’aménagement avec plaques de plâtre posées sur les murs et au plafond, câbles et conduits encore visibles.";"Les murs et le plafond sont partiellement recouverts de plaques de plâtre dans une pièce en cours de chantier.";"0.96";"plaques de plâtre sur les murs | plafond recouvert de plaques | fenêtres | câbles apparents | conduit vertical | ossature murale visible | matériaux de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.25.43 (1).jpeg";"WhatsApp Image 2026-08-29 at 09.25.43 (1).jpeg";"pose-isolation-mur-en-cours.jpg";"isolation";"Un ouvrier met en place une isolation sur un mur entre des montants métalliques, avec deux fenêtres visibles.";"Pose d’une isolation murale en cours dans une pièce équipée de deux fenêtres.";"0.96";"isolant souple sur un mur | montants métalliques verticaux | deux fenêtres | plafond recouvert de plaques | escabeau | outils et matériaux au sol";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.25.43 (2).jpeg";"WhatsApp Image 2026-08-29 at 09.25.43 (2).jpeg";"isolation-murs-en-cours.jpg";"isolation";"Murs recouverts d'un isolant visible dans une pièce en travaux, avec deux fenêtres et un plafond terminé.";"Isolation visible sur les murs d'une pièce en cours d'aménagement, avec deux fenêtres et un sol non fini.";"0.96";"isolant recouvrant les murs | deux fenêtres | plafond clair | sol non fini | pièce en travaux";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\WhatsApp Image 2026-08-29 at 09.25.43.jpeg";"WhatsApp Image 2026-08-29 at 09.25.43.jpeg";"pose-isolation-murs-fenetres.jpg";"isolation";"Murs recouverts de panneaux isolants protégés par un film imprimé autour de deux fenêtres.";"Isolation en cours de pose sur les murs d'une pièce avec deux fenêtres, avant finition.";"0.96";"panneaux isolants recouverts d'un film imprimé | deux fenêtres | mur en cours de traitement | plafond blanc | sol non finalisé";"OUI";"PROPOSITION"
